Audience segment list report
All time
Segment name,Description,Upload status,Warning,Customer Type,Segment Type,Membership status,Size: Search,Size: YouTube,Size: Display,Size: Gmail campaign
All Users of Pusthakala.com,All users, --, --,,Website visitors,Open,0,0,0,0
All Users of vahakaya.com,All users, --, --,,Website visitors,Open,0,0,0,0
zalanka - land wahugupitiya - GA4,"Page: contains ""/sri-lanka/real-estate-broker-sri-lanka/land-for-sale""", --, --,,Website visitors,Open,0,0,0,0
Machinerylanka.com - Handheld Inkjet Printer visitors,, --, --,,Website visitors,Open,0,0,0,0
zalanka - handheld inkjet - GA4,"Page: contains ""/sri-lanka/Industrial-Printers/handheld-inkjet-printer-sri-lanka""", --, --,,Website visitors,Open,520,520,270,230
Purchasers of www.machinerylanka.com,Users who have purchased in the last 540 days, --, --,Purchasers,App + Web visitors,Open,0,0,0,0
Study in Malaysia - Purajal,"Page: contains ""/study-abroad/study-in-malaysia""", --, --,,Website visitors,Open,0,0,0,0
"zalanka - Wadduwa, house for sale - GA4","Page: contains ""/sri-lanka/Real-Estate/house-for-sale/Wadduwa""", --, --,,Website visitors,Open,0,0,16,0
Purchasers of codingmachinesrilanka.com,Users who have purchased in the last 540 days, --, --,Purchasers,Website visitors,Open,0,0,0,0
Zalanka - pannipitya house visits - GA4,"Page: contains ""/sri-lanka/Real-Estate/house-for-sale/Pannipitiya""", --, --,,Website visitors,Open,0,0,0,8
Sealing Machines for Sale - GA4,"Page: contains ""/sri-lanka/packaging-machinery/sealing-machines""", --, --,,Website visitors,Open,280,280,200,180
New users zalanka - GA4,"User Type: ""New Visitor""", --, --,,Website visitors,Open,"2,600","2,600","1,400","1,500"
Machinerylanka.com - Conveyor people,people who visited the conveyor tab on machinery lanka.com, --, --,,Website visitors,Open,0,0,0,0
All visitors (Google Analytics),People who visited pages that contain your remarketing tags, --, --,,Website visitors,Open,0,0,0,0
Purchasers of www.zalanka.com - GA4,Users who have purchased in the last 540 days, --, --,Purchasers,Website visitors,Open,0,0,0,0
InSL - Date printing machine,"Page: contains ""/date-printing-machine/""", --, --,,Website visitors,Open,0,0,0,0
zalanka - conveyor,, --, --,,Website visitors,Open,0,0,0,0
Wahugapitiya land - New url,"Page: contains ""/sri-lanka/real-estate-broker-sri-lanka-buy-sell-properties/land-for-sale""", --, --,,Website visitors,Open,0,0,0,0
Prop-1-Maharagama Land visitors,, --, --,,Website visitors,Open,0,0,0,0
purajal - study in malaysia,, --, --,,Website visitors,Open,0,0,0,0
New users zalanka,"User Type: ""New Visitor""", --, --,,Website visitors,Open,0,0,0,0
purajal visitor,, --, --,,Website visitors,Open,0,0,0,0
All visitors (Google Analytics),People who visited pages that contain your remarketing tags, --, --,,Website visitors,Open,0,0,0,0
purajal - study in azerbaijan -,, --, --,,Website visitors,Closed,0,0,0,0
Conveyor belt zalanka,, --, --,,Website visitors,Open,48,48,48,0
ticketing audience,, --, --,,Website visitors,Open,0,0,0,0
Wahugapitiya land - New url - GA4,"Page: contains ""/sri-lanka/real-estate-broker-sri-lanka-buy-sell-properties/land-for-sale""", --, --,,Website visitors,Open,0,0,0,0
Purajal - Conversion list,purajal website - 2 page view (Goal 1 Completions) > 0, --, --,,Website visitors,Open,0,0,0,0
All Users of codingmachinesrilanka.com,All users, --, --,,Website visitors,Open,0,0,0,0
Azerbaijan Keyword display,"Keyword: contains ""Azerbaijan""", --, --,,Website visitors,Open,0,0,0,0
Zalanka - industrail Printer - GA4,"Page: contains ""/sri-lanka/Industrial-Printers""", --, --,,Website visitors,Open,"1,300","1,300",820,850
Sealing Machines for Sale,"Page: contains ""/sri-lanka/packaging-machinery/sealing-machines""", --, --,,Website visitors,Open,0,0,0,0
All Users of www.machinerylanka.com,All users, --, --,,Website visitors,Open,0,0,0,0
purajal - Study in Turkey - visits,"Page: contains ""/study-abroad/Turkey""", --, --,,Website visitors,Open,0,0,0,0
All converters,People who converted on your site. Based on your conversion tracking tag., --, --,,Website visitors,Open,"2,000","2,000",990,"1,000"
